Date,HINDMOTORS
2016-12-28,6.85
2016-12-29,6.9
2016-12-30,6.9
2017-01-02,6.9
2017-01-03,7.3
2017-01-04,7.3
2017-01-05,7.3
2017-01-06,7.15
2017-01-09,7.15
2017-01-10,7.4
2017-01-11,8.85
2017-01-12,9.05
2017-01-13,8.75
2017-01-16,8.65
2017-01-17,8.55
2017-01-18,8.6
2017-01-19,9.15
2017-01-20,8.8
2017-01-23,8.75
2017-01-24,9.0
2017-01-25,10.8
2017-01-27,11.05
2017-01-30,10.25
2017-01-31,9.75
2017-02-01,10.35
2017-02-02,10.05
2017-02-03,10.15
2017-02-06,10.15
2017-02-07,10.2
2017-02-08,11.05
2017-02-09,10.9
2017-02-10,11.0
2017-02-13,11.9
2017-02-14,11.05
2017-02-15,10.2
2017-02-16,10.6
2017-02-17,10.5
2017-02-20,11.2
2017-02-21,11.45
2017-02-22,11.0
2017-02-23,11.0
2017-02-27,10.85
2017-02-28,10.75
2017-03-01,10.7
2017-03-02,10.25
2017-03-03,10.2
2017-03-06,10.2
2017-03-07,10.15
2017-03-08,9.9
2017-03-09,9.7
2017-03-10,9.7
2017-03-14,9.5
2017-03-15,9.45
2017-03-16,9.9
2017-03-17,9.8
2017-03-20,10.05
2017-03-21,9.65
2017-03-22,9.5
2017-03-23,9.5
2017-03-24,9.4
2017-03-27,9.1
2017-03-28,9.15
2017-03-29,8.8
2017-03-30,9.05
2017-03-31,8.95
2017-04-03,9.05
2017-04-05,9.2
2017-04-06,9.3
2017-04-07,9.9
2017-04-10,9.9
2017-04-11,9.95
2017-04-12,9.95
2017-04-13,9.8
2017-04-17,9.75
2017-04-18,9.6
2017-04-19,9.5
2017-04-20,9.8
2017-04-21,10.0
2017-04-24,9.9
2017-04-25,9.95
2017-04-26,9.8
2017-04-27,9.9
2017-04-28,10.1
2017-05-02,9.95
2017-05-03,9.75
2017-05-04,9.7
2017-05-05,9.5
2017-05-08,9.55
2017-05-09,9.4
2017-05-10,10.05
2017-05-11,9.85
2017-05-12,9.65
2017-05-15,9.55
2017-05-16,9.55
2017-05-17,9.5
2017-05-18,9.3
2017-05-19,9.1
2017-05-22,9.05
2017-05-23,8.9
2017-05-24,8.35
2017-05-25,8.3
2017-05-26,8.45
2017-05-29,8.4
2017-05-30,8.1
2017-05-31,8.15
2017-06-01,8.2
2017-06-02,8.8
2017-06-05,8.5
2017-06-06,8.3
2017-06-07,8.35
2017-06-08,8.55
2017-06-09,8.6
2017-06-12,8.4
2017-06-13,8.45
2017-06-14,8.4
2017-06-15,8.35
2017-06-16,8.4
2017-06-19,8.35
2017-06-20,8.25
2017-06-21,8.25
2017-06-22,8.2
2017-06-23,8.15
2017-06-27,7.95
2017-06-28,7.85
2017-06-29,8.0
2017-06-30,7.95
2017-07-03,8.0
2017-07-04,8.0
2017-07-05,7.95
2017-07-06,8.0
2017-07-07,8.3
2017-07-10,8.1
2017-07-11,8.1
2017-07-12,8.1
2017-07-13,7.9
2017-07-14,7.75
2017-07-17,7.9
2017-07-18,7.7
2017-07-19,7.9
2017-07-20,8.0
2017-07-21,8.0
2017-07-24,8.1
2017-07-25,8.15
2017-07-26,8.35
2017-07-27,8.4
2017-07-28,8.45
2017-07-31,8.75
2017-08-01,8.4
2017-08-02,8.45
2017-08-03,8.3
2017-08-04,8.05
2017-08-07,8.25
2017-08-08,8.0
2017-08-09,7.85
2017-08-10,7.25
2017-08-11,7.35
2017-08-14,7.65
2017-08-16,7.9
2017-08-17,7.85
2017-08-18,7.9
2017-08-21,8.0
2017-08-22,8.15
2017-08-23,8.2
2017-08-24,8.1
2017-08-28,8.0
2017-08-29,7.95
2017-08-30,8.0
2017-08-31,8.0
2017-09-01,8.0
2017-09-04,7.75
2017-09-05,7.95
2017-09-06,7.9
2017-09-07,7.95
2017-09-08,7.9
2017-09-11,7.85
2017-09-12,7.8
2017-09-13,7.8
2017-09-14,7.55
2017-09-15,8.0
2017-09-18,7.95
2017-09-19,7.8
2017-09-20,7.7
2017-09-21,7.7
2017-09-22,7.75
2017-09-25,7.7
2017-09-26,7.85
2017-09-27,7.8
2017-09-28,7.85
2017-09-29,7.7
2017-10-03,7.7
2017-10-04,7.7
2017-10-05,7.7
2017-10-06,7.55
2017-10-09,7.65
2017-10-10,7.65
2017-10-11,7.55
2017-10-12,7.55
2017-10-13,7.5
2017-10-16,7.5
2017-10-17,7.5
2017-10-18,7.4
2017-10-19,7.45
2017-10-23,7.2
2017-10-24,7.3
2017-10-25,7.15
2017-10-26,7.15
2017-10-27,7.15
2017-10-30,7.3
2017-10-31,7.45
2017-11-01,7.65
2017-11-02,8.15
2017-11-03,8.0
2017-11-06,8.0
2017-11-07,7.75
2017-11-08,7.8
2017-11-09,7.65
2017-11-10,7.7
2017-11-13,7.75
2017-11-14,7.75
2017-11-15,7.55
2017-11-16,7.55
2017-11-17,7.55
2017-11-20,7.85
2017-11-21,7.8
2017-11-22,7.6
2017-11-23,7.55
2017-11-24,7.65
2017-11-27,7.85
2017-11-28,7.9
2017-11-29,7.85
2017-11-30,7.8
2017-12-01,7.65
2017-12-04,7.65
2017-12-05,7.75
2017-12-06,7.6
2017-12-07,7.65
2017-12-08,7.75
2017-12-11,7.85
2017-12-12,7.65
2017-12-13,7.6
2017-12-14,7.55
2017-12-15,7.6
2017-12-18,7.6
2017-12-19,7.65
2017-12-20,8.05
2017-12-21,8.35
2017-12-22,8.25
2017-12-26,8.15
2017-12-27,8.65
2017-12-28,10.25
2017-12-29,9.65
